carrier,flight_number,from city,gate,status,scheduled_time,updated_time
British Airways,4910,Washington| DC,Term T3 - K20,Scheduled,2020-07-23 13:53:00,2020-07-23 13:53:00
Alaska Airlines,4031,Grand Rapids| MI,Term T3 - G5,Scheduled,2020-07-23 13:54:00,2020-07-23 13:54:00
Qatar Airways,7603,Grand Rapids| MI,Term T3 - G5,Scheduled,2020-07-23 13:54:00,2020-07-23 13:54:00
Alaska Airlines,4710,White Plains| NY,Term T3 - L10A,Scheduled,2020-07-23 13:58:00,2020-07-23 13:58:00
Alaska Airlines,4690,Oklahoma City| OK,Term T3 - G19,Scheduled,2020-07-23 13:59:00,2020-07-23 13:59:00
American Airlines,3801,El Paso| TX,Term T3 - L23,Scheduled,2020-07-23 14:00:00,2020-07-23 14:00:00
Qatar Airways,2425,Las Vegas| NV,Term T3 - K6,Scheduled,2020-07-23 14:02:00,2020-07-23 14:07:00
Iberia Airlines,4031,Las Vegas| NV,Term T3 - K6,Scheduled,2020-07-23 14:02:00,2020-07-23 14:07:00
Alaska Airlines,4208,Fayetteville/Springdale/| AR,Term T3 - L4,Scheduled,2020-07-23 14:03:00,2020-07-23 14:03:00
British Airways,4968,Fayetteville/Springdale/| AR,Term T3 - L4,Scheduled,2020-07-23 14:03:00,2020-07-23 14:03:00
Delta Air Lines,1286,Salt Lake City| UT,Term 2 - E15,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
Alaska Airlines,4589,Nashville| TN,Term T3 - G11,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
KLM Royal Dutch Airlines,7873,Salt Lake City| UT,Term 2 - E15,Scheduled,2020-07-23 14:04:00,2020-07-23 14:04:00
American Airlines,2608,Philadelphia| PA,Term T3 - H8,Scheduled,2020-07-23 14:05:00,2020-07-23 14:05:00
Delta Air Lines,8052,Mexico City,Term 5,Departed,2020-07-23 14:05:00,2020-07-23 13:33:00
Alaska Airlines,4160,Kansas City| MO,Term T3 - G1B,Scheduled,2020-07-23 14:06:00,2020-07-23 14:06:00
American Airlines,4270,Omaha| NE,Term T3 - L2A,Scheduled,2020-07-23 14:07:00,2020-07-23 14:07:00
British Airways,5283,Omaha| NE,Term T3 - L2A,Scheduled,2020-07-23 14:07:00,2020-07-23 14:07:00
Qatar Airways,2800,St Louis| MO,Term T3 - G13,Scheduled,2020-07-23 14:08:00,2020-07-23 14:08:00
Alaska Airlines,4000,St Louis| MO,Term T3 - G13,Scheduled,2020-07-23 14:08:00,2020-07-23 14:08:00
Gulf Air,6652,St Louis| MO,Term T3 - G13,Scheduled,2020-07-23 14:08:00,2020-07-23 14:08:00
Qantas Airways,4787,Minneapolis| MN,Term T3 - K4,Scheduled,2020-07-23 14:09:00,2020-07-23 14:09:00
Alaska Airlines,4605,Memphis| TN,Term T3 - L20,Scheduled,2020-07-23 14:10:00,2020-07-23 14:10:00
Gulf Air,6839,San Diego| CA,Term T3 - K12,Scheduled,2020-07-23 14:10:00,2020-07-23 14:15:00
Alaska Airlines,4399,Raleigh/Durham| NC,Term T3 - H17,Scheduled,2020-07-23 14:12:00,2020-07-23 14:12:00
Alaska Airlines,4088,Richmond| VA,Term T3 - H1A,Scheduled,2020-07-23 14:13:00,2020-07-23 14:13:00
Qatar Airways,7563,Richmond| VA,Term T3 - H1A,Scheduled,2020-07-23 14:13:00,2020-07-23 14:13:00
Alaska Airlines,4305,Charlotte| NC,Term T3 - H14,Scheduled,2020-07-23 14:14:00,2020-07-23 14:14:00
Gulf Air,6498,Charlotte| NC,Term T3 - H14,Scheduled,2020-07-23 14:14:00,2020-07-23 14:14:00
British Airways,6794,Traverse City| MI,Term T3 - L1B,Scheduled,2020-07-23 14:15:00,2020-07-23 14:15:00
American Airlines,3648,Wilmington| NC,Term T3 - L3,Scheduled,2020-07-23 14:17:00,2020-07-23 14:17:00
Qantas Airways,3325,San Francisco| CA,Term T3 - H6,Scheduled,2020-07-23 14:20:00,2020-07-23 14:33:00
Alaska Airlines,4135,Fargo| ND,Term T3 - G1A,Scheduled,2020-07-23 14:20:00,2020-07-23 14:20:00
Malaysia Airlines,9469,Portland| OR,Term T3 - K10,Scheduled,2020-07-23 14:20:00,2020-07-23 14:29:00
Frontier Airlines,1426,Phoenix| AZ,Term 5 - M2,Scheduled,2020-07-23 14:32:00,2020-07-23 14:14:00
Turkish Airlines,6319,Shannon, ,In Air,2020-07-23 14:40:00,2020-07-23 13:43:00
SWISS,3044,London,INTL,In Air,2020-07-23 15:15:00,2020-07-23 14:11:00
Austrian Airlines,7849,London,INTL,In Air,2020-07-23 15:15:00,2020-07-23 14:11:00
Lufthansa,9348,London,INTL,In Air,2020-07-23 15:15:00,2020-07-23 14:11:00
American Airlines,3417,Traverse City| MI,Term T3 - L3,Arrived,2020-07-23 07:45:00,2020-07-23 08:40:00
Air Canada,4716,Greenville| SC,Term 1 - B6,Arrived,2020-07-23 08:10:00,2020-07-23 09:28:00
Aer Lingus,6843,Greenville| SC,Term 1 - B6,Arrived,2020-07-23 08:10:00,2020-07-23 09:28:00
Air China,1053,Anchorage| AK, ,No Recent Info - Call Airline,2020-07-23 08:35:00,
American Airlines,8332,Quincy| IL,Term 3,Arrived,2020-07-23 08:38:00,2020-07-23 08:52:00
American Airlines,3478,Lexington| KY,Term T3 - G20,Arrived,2020-07-23 08:42:00,2020-07-23 08:18:00
Delta Air Lines,1694,New York| NY,Term 2 - E14,Arrived,2020-07-23 08:47:00,2020-07-23 08:45:00
American Airlines,4036,Marquette| MI,Term T3 - G9,Arrived,2020-07-23 08:47:00,2020-07-23 08:45:00
Alaska Airlines,4213,Greenville| SC,Term T3 - G7,Arrived,2020-07-23 08:47:00,2020-07-23 08:23:00
American Airlines,2327,Austin| TX,Term T3 - H9,Arrived,2020-07-23 08:51:00,2020-07-23 08:44:00
Alaska Airlines,4494,Austin| TX,Term T3 - H9,Arrived,2020-07-23 08:51:00,2020-07-23 08:44:00
American Airlines,3699,Lansing| MI,Term T3 - G14,Arrived,2020-07-23 08:52:00,2020-07-23 08:46:00
American Airlines,4277,Indianapolis| IN,Term T3 - L8,Arrived,2020-07-23 08:53:00,2020-07-23 08:44:00
American Airlines,3251,Baltimore| MD,Term T3 - G17,Arrived,2020-07-23 08:54:00,2020-07-23 08:37:00
American Airlines,1451,Tampa| FL,Term T3 - H11A,Arrived,2020-07-23 08:55:00,2020-07-23 08:35:00
British Airways,4443,Dallas-Fort Worth| TX,Term T3 - H16,Arrived,2020-07-23 08:55:00,2020-07-23 08:42:00
Alaska Airlines,6028,Tampa| FL,Term T3 - H11A,Arrived,2020-07-23 08:55:00,2020-07-23 08:35:00
Alaska Airlines,4183,New York| NY,Term T3 - K19,Arrived,2020-07-23 08:57:00,2020-07-23 08:51:00
American Airlines,113,Washington| DC,Term T3 - H10,Arrived,2020-07-23 08:59:00,2020-07-23 08:35:00
American Airlines,2209,St Louis| MO,Term T3 - K3,Arrived,2020-07-23 09:00:00,2020-07-23 08:53:00
Qatar Airways,2814,Raleigh/Durham| NC,Term T3 - K9,Arrived,2020-07-23 09:00:00,2020-07-23 08:31:00
Alaska Airlines,4145,Richmond| VA,Term T3 - L10A,Arrived,2020-07-23 09:00:00,2020-07-23 08:43:00
British Airways,5060,St Louis| MO,Term T3 - K3,Arrived,2020-07-23 09:00:00,2020-07-23 08:53:00
American Airlines,4053,Buffalo| NY,Term T3 - L4,Arrived,2020-07-23 09:03:00,2020-07-23 08:56:00
Alaska Airlines,4701,Huntsville| AL,Term T3 - L6A,Arrived,2020-07-23 09:03:00,2020-07-23 08:29:00
American Airlines,3566,Grand Rapids| MI,Term T3 - L23,Arrived,2020-07-23 09:04:00,2020-07-23 08:47:00
Asiana Airlines,909,Anchorage| AK, ,No Recent Info - Call Airline,2020-07-23 09:05:00,
Qatar Airways,2787,Newark| NJ,Term T3 - H12,Arrived,2020-07-23 09:07:00,2020-07-23 08:49:00
American Airlines,3430,Toronto,Term T3 - L20,Landed,2020-07-23 09:07:00,2020-07-23 09:25:00
American Airlines,3572,Columbus| OH,Term T3 - L2C,Arrived,2020-07-23 09:08:00,2020-07-23 08:43:00
Alaska Airlines,4065,Albany| NY,Term T3 - L6B,Arrived,2020-07-23 09:08:00,2020-07-23 08:54:00
American Airlines,4418,Atlanta| GA,Term T3 - H4,Arrived,2020-07-23 09:09:00,2020-07-23 09:01:00
Qantas Airways,4619,Pittsburgh| PA,Term T3 - K16,Arrived,2020-07-23 09:09:00,2020-07-23 08:58:00
Qatar Airways,9215,Atlanta| GA,Term T3 - H4,Arrived,2020-07-23 09:09:00,2020-07-23 09:01:00
American Airlines,3342,Wilkes-Barre/Scranton| PA,Term T3 - L1B,Arrived,2020-07-23 09:11:00,2020-07-23 08:56:00
Alaska Airlines,4757,Wilkes-Barre/Scranton| PA,Term T3 - L1B,Arrived,2020-07-23 09:11:00,2020-07-23 08:56:00
American Airlines,4237,Dubuque| IA,Term T3 - L1A,Arrived,2020-07-23 09:13:00,2020-07-23 09:02:00
American Airlines,4521,Louisville| KY,Term T3 - L22,Arrived,2020-07-23 09:15:00,2020-07-23 08:55:00
Qantas Airways,4863,Minneapolis| MN,Term T3 - H1B,Arrived,2020-07-23 09:15:00,2020-07-23 09:02:00
